# fake_clients: 5
# total_rounds: 30
round,loss,accuracy
1,0.6708956360816956,0.5869392156600952
2,0.6511748433113098,0.631118655204773
3,0.6272858381271362,0.6646223664283752
4,0.5999454855918884,0.6873367428779602
5,0.5730632543563843,0.7057353854179382
6,0.5464013814926147,0.722998321056366
7,0.5193321704864502,0.7399204969406128
8,0.49236273765563965,0.7612720131874084
9,0.46640413999557495,0.7746734619140625
10,0.44323402643203735,0.7888699769973755
11,0.4229271411895752,0.7998864054679871
12,0.405001163482666,0.8103350400924683
13,0.3893120586872101,0.8174900412559509
14,0.3751540780067444,0.8215786218643188
15,0.362324982881546,0.8266893625259399
16,0.3508337438106537,0.8321408033370972
17,0.3397292494773865,0.836797297000885
18,0.3301597535610199,0.8398637175559998
19,0.3212184011936188,0.8445201516151428
20,0.3125515878200531,0.8477001786231995
21,0.3045719563961029,0.8501987457275391
22,0.29704535007476807,0.853833019733429
23,0.2896728515625,0.8565587997436523
24,0.28303420543670654,0.8604202270507812
25,0.27650201320648193,0.8624644875526428
26,0.2702735364437103,0.8645088076591492
27,0.264178603887558,0.8681430816650391
28,0.2591307461261749,0.8699602484703064
29,0.25410884618759155,0.8710959553718567
30,0.24939611554145813,0.872231662273407
